Elements with names in Master.xsl:

Element, Name
variable, _dsMain1
variable, _dsUser
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, conditional_0
variable, _dsTxnArray
variable, _dsTxnArray
variable, SESRenewalsLines
variable, _dsSub1
variable, hasSESRenewalsLines
variable, COLUMN97146a5d-d8d0-43a1-9c13-84344296d864
variable, COLUMN70f9dcc8-13e3-468a-ab57-a5ea0d9c03b7
variable, cond47262836
variable, _dsSub1
variable, _dsSub1
variable, lineItemNumber
variable, ChildLines
variable, ServiceStartDate
variable, ServiceEndDate
variable, ServiceDuration
variable, _dsTxnArray
variable, extNetPrice
variable, RenewalTotalCalculation
variable, extNetPrice
variable, cond47262981
variable, _dsSub1
variable, proposalLoopDocNumber
variable, proposalLoopGsNumber
variable, parentLoopDocNumber
variable, parentConfigName
variable, installedat
variable, SimplifiedFlag
variable, SimplifiedFlag
variable, SimplifiedFlag
variable, AutoRenew
variable, BillingFrequency
variable, SelectedTech
variable, smplines
variable, serviceDuration
variable, cond47262834
variable, cond47263318
variable, _dsSub1
variable, modelLoopDocNumber
variable, modelLoopGSNumber
variable, lineNumber
variable, bom_level
variable, top_model_name
variable, part_name
variable, serviceReferenceLineID
variable, coveredItem
variable, virtualLineID
variable, groupSeqArray
variable, nextGSNum
variable, expansionSibling
variable, expansionLineNum
variable, allSubLines
variable, hardwareLines
variable, hasHardwareLines
variable, SoftwareLines
variable, hasSoftwareLines
variable, SoftwareLines
variable, hasSoftwareLines
variable, subscriptionLines
variable, hassubscriptionLines
variable, subscriptionLines
variable, hassubscriptionLines
variable, serviceLines
variable, hasserviceLines
variable, platformLines
variable, hasplatformLines
variable, platformLines
variable, hasplatformLines
variable, capacityLines
variable, hascapacityLines
variable, capacityLines
variable, hascapacityLines
variable, networkingLines
variable, hasnetworkingLines
variable, networkingLines
variable, hasnetworkingLines
variable, switchesLines
variable, hasswitchesLines
variable, switchesLines
variable, hasswitchesLines
variable, BridgesLines
variable, hasBridgessLines
variable, BridgesLines
variable, hasBridgessLines
variable, otherhardwareLines
variable, hasotherHardwareLines
variable, AddserviceLines
variable, hasaddserviceLines
variable, AddserviceLines
variable, hasaddserviceLines
variable, ProfserviceLines
variable, hasprofserviceLines
variable, ProfserviceLines
variable, hasprofserviceLines
variable, otherserviceLines
variable, hasothserviceLines
variable, otherserviceLines
variable, hasothserviceLines
variable, dataNodesLines
variable, hasdataNodesLines
variable, SubtotalLines
variable, hasSubtotalLines
